Label,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46
0,8.31341289724022,12.9099149881012,4.0420984676091685,5.767357792160083,-34.099999999999994,16.13000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,9.144377968866992,7.766101374277546,5.40006401635896,3.705141355593766,10.140000000000015,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,26.332016633748356,10.982136631821696,4.563621632651104,2.1454612324357694,-50.69,-28.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,0.0,0.0,0.0,0.0,181.57,93.55000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,2.765000000000015,0.0,2.733390488599212,1.9252737123978005e-06,176.04000000000002,60.370000000000005,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,4.585233772666344,2.7650000000000006,2.815342383922626,1.463635340756586,170.51,-77.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,11.59982586076187,6.636000000000001,8.362276150841108,5.427139166537194,54.380000000000024,-83.41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,9.74689124228279,8.781288186947416,1.8719349050419511,1.8395683346232992,4.610000000000014,10.600000000000009,7.234186,14.180955,1896.8188,-0.2607743,0.0791404,50.029385,-9999,-9999,-9999,-9999,-9999,-9999
0,13.015992560169547,11.67419179185675,6.444680834381877,6.068265142219897,4.610000000000014,16.13000000000001,9.549434,18.458654,1896.8168,-0.4548418,0.25496817,49.046448,-9999,-9999,-9999,-9999,-9999,-9999
0,0.0,0.0,0.0,0.0,-11.97999999999999,16.13000000000001,-7.14018,20.010647,1896.7747,-1.0251895,0.33799863,47.467945,32.62678909301758,34.388084411621094,-9999,-9999,-9.43876838684082,9.164667129516602
0,10.8446247237721,10.523971045895145,5.9562169149411694,3.8068289647774725,-11.97999999999999,5.070000000000007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
