n_evt,gpz,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,E/p,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46
42,53.232212,0.0,0.0,0.0,0.0,-11.97999999999999,16.13000000000001,-7.968531,18.417345,1896.7948,-0.4877746,0.07268384,49.96407,0.008008109,-9999,11.228084564208984,-9999,10.171592712402344,-9999,-10.165332794189453
43,79.71418,2.7650000000000006,5.530000000000001,0.6548498609841562,1.3096997219683058,-6.449999999999989,10.600000000000009,-2.5916867,14.833443,1896.7965,-0.20241763,0.0747288,50.361603,0.005696845,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
44,36.36806,2.7650000000000006,0.0,0.5157953265587374,4.3967117389836705e-07,-11.97999999999999,10.600000000000009,-5.5791636,14.7129345,1896.7959,-0.6768081,-0.05559249,49.55139,0.01889959,9.466787338256836,11.228084564208984,-9999,10.171592712402344,-9999,-10.165332794189453
45,69.449585,0.0,0.0,0.0,0.0,-0.9199999999999875,-0.45999999999999375,4.881922,4.5432205,1896.8218,-0.25837615,0.11071972,50.332596,0.0061286506,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
46,37.09423,2.6068669999744056,2.6068669999744056,0.7927666749125366,0.8306932539293621,-0.9199999999999875,21.66000000000001,4.1366167,22.222734,1896.8036,-0.44067392,0.19964017,49.74825,0.020049857,32.62678909301758,34.388084411621094,33.565887451171875,33.33159255981445,-9999,9.164667129516602
47,57.222652,0.0,0.0,1.7763568394002505e-15,0.0,10.140000000000015,10.600000000000009,12.794536,14.302211,1896.8262,-0.33650053,0.022382962,50.163624,0.007556125,9.466787338256836,-9999,10.405887603759766,-9999,-9999,9.164667129516602
48,68.07478,0.0,0.0,0.0,0.0,-0.9199999999999875,10.600000000000009,1.6992648,13.81968,1896.8048,-0.2833387,0.033116743,50.325832,0.0066170157,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
49,73.10443,0.0,0.0,0.0,0.0,4.610000000000014,5.070000000000007,9.298602,8.0762415,1896.8243,-0.19479255,-0.0022664564,50.3237,0.0059917676,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
50,86.37234,2.7091356555181956,4.13827306977198,1.0647716606860596,1.0557768119759057,-0.9199999999999875,16.13000000000001,2.370962,19.121622,1896.8062,-0.21798886,-0.02982418,50.533295,0.012632078,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
51,48.107563,0.0,0.0,0.0,0.0,4.610000000000014,-0.45999999999999375,9.639058,4.357357,1896.8232,-0.4728187,-0.023607293,50.009823,0.009367455,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
